c-a,move to the beginning of line.,,bash,bash left-right motions
c-e,move to the end of line.,,bash,bash left-right motions
c-f,move forward a character.,,bash,bash left-right motions
c-b,move backward a character.,,bash,bash left-right motions
a-f,move forward a word.,,bash,bash left-right motions
a-b,move backward a word.,,bash,bash left-right motions
c-l,clears screen and re-display the line,,bash,bash
c-c,halts the current command,,bash,bash
c-g,aborts the current editing command and ring the terminal bell,,bash,bash
c-j,same as *RETURN*,,bash,bash
c-m,go to next line,,bash,bash
c-d,delete character at cursor; log-out current session,,bash,bash edit-text
c-h,delete character before the cursor,,bash,bash edit-text
c-q,quoted insert,,bash,bash edit-text
c-x c-e,invoke text editor on current command line then execute,,bash,bash edit-text
c-k,deletes from cursor to the end of the line.,,bash,bash kill-yank
c-u,deletes from cursor to the start of the line.,,bash,bash kill-yank
c-w,deletes previous word,,bash,bash kill-yank
a-h,deletes previous character,,bash,bash kill-yank
c-y,retrieves (yank) last item deleted,,bash,bash kill-yank
c-x (,start recording a keyboard macro,,bash,bash macro
c-x ),finish recording a keyboard macro,,bash,bash macro
c-x e,recall last recorded keyboard macro,,bash,bash macro
c-p,previous history,,bash,bash history
c-n,next history,,bash,bash history
c-r,searches backward,,bash,bash history
